mach,planform_area,angle_of_attack,lift,induced_drag,parasitic_drag,wave_drag,total_drag,lift_over_drag
0.7,1,-4.0,-0.170667608753,0.004214144153,0.008941114403045455,0.0,0.013155258556045456,-12.973337470024127
0.7,1,-3.0,-0.128107416804,0.002373136905,0.008941114403045455,0.0,0.011314251308045455,-11.322659654280798
0.7,1,-2.0,-0.0854509515,0.001055626372,0.008941114403045455,0.0,0.009996740775045455,-8.547881096737896
0.7,1,-1.0,-0.042737671652,0.000264050908,0.008941114403045455,0.0,0.009205165311045455,-4.6427924114212535
0.7,1,0.0,0.0,0.0,0.008941114403045455,0.0,0.008941114403045455,0.0
0.7,1,1.0,0.042730736321,0.000263942242,0.008941114403045455,0.0,0.009205056645045454,4.6420937935237445
0.7,1,2.0,0.08542325342,0.00105476935,0.008941114403045455,0.0,0.009995883753045455,8.545843022031345
0.7,1,3.0,0.128045181072,0.002370290917,0.008941114403045455,0.0,0.011311405320045455,11.320006440321373
0.7,1,4.0,0.170553816344,0.004207102577,0.008941114403045455,0.0,0.013148216980045455,12.971630800042544
0.7,1,5.0,0.212916083883,0.00656059496,0.008941114403045455,0.0,0.015501709363045454,13.73500682386492
0.7,1,6.0,0.255088527925,0.009424053965,0.008941114403045455,1.7301244213675714e-09,0.01836517009816988,13.8897993626762
0.7,1,7.0,0.297042071305,0.012790046225,0.008941114403045455,5.5203872618965026e-08,0.021731215831918074,13.668911744400175
0.7,1,8.0,0.338742898101,0.016650680424,0.008941114403045455,3.403515014048956e-07,0.02559213517854686,13.236210880323823
0.7,1,9.0,0.3801450546,0.020997888516,0.008941114403045455,1.173856939496621e-06,0.02994017677598495,12.696820644857207
0.7,1,10.0,0.421238920804,0.025829903972,0.008941114403045455,2.998484644984299e-06,0.034774016859690435,12.113611220229618
0.7,1,11.0,0.461769455557,0.031083569855,0.008941114403045455,6.345716057505081e-06,0.040031029974102954,11.535287896807299
0.7,1,12.0,0.499401718719,0.0363852765,0.008941114403045455,1.1437676531042377e-05,0.045337828579576495,11.015122125720142
0.7,1,13.0,0.532528640994,0.041359137301,0.008941114403045455,1.803309003802098e-05,0.05031828479408347,10.583203365799461
